model_class,acc,kwargs
XGBClassifier,0.860381861575179,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8353221957040573,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8484486873508353,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8066825775656324,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8412887828162291,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.850835322195704,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
